News Agency,Tweets Ago,Date,Compound,Positive,Negative,Neutral,Tweet
@BBC,1,Sat Mar 31 13:01:05 +0000 2018,0.128,0.185,0.662,0.152,"Tweet 1: 😂 True or false? 
@NiallOfficial screamed when @JustinBieber followed him on Twitter.  https://t.co/CIcv8AR2sy"
@BBC,2,Sat Mar 31 12:31:02 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 2: This is what happens when you get an OWL to deliver the rings at your wedding... 🦉💍🤦
https://t.co/yi1tbmLg99"
@BBC,3,Sat Mar 31 11:50:05 +0000 2018,-0.3404,0.0,0.821,0.179,"Tweet 3: ✊ Don't like plastic in the supermarkets? 
Why not bin the lot! ♻️🗑https://t.co/gfxquQUoj4"
@BBC,4,Sat Mar 31 11:28:03 +0000 2018,0.1779,0.362,0.638,0.0,Tweet 4: It's still growing 😱 https://t.co/T5YocDauYj
@BBC,5,Sat Mar 31 11:26:30 +0000 2018,-0.6351,0.0,0.82,0.18,"Tweet 5: RT @BBCArchive: Eh-oh! #OnThisDay 1997 the Teletubbies was first broadcast, featuring Tinky Winky, Dipsy, Laa-Laa, and Po. Again, again! ht…"
@BBC,6,Sat Mar 31 10:37:23 +0000 2018,0.7579,0.255,0.745,0.0,"Tweet 6: RT @bbcgetinspired: BBC Get Inspired has teamed up with @PHE_uk's @OneYouPHE campaign to bring you the free #CouchTo5K smartphone app.

Sig…"
@BBC,7,Sat Mar 31 10:37:18 +0000 2018,0.93,0.58,0.42,0.0,Tweet 7: RT @bbcthree: The amazing deaf dancer sharing his love and passion with others https://t.co/LdHnu8Fmct
@BBC,8,Sat Mar 31 10:27:04 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 8: 💻 The world is running out of computer storage. 

🤔 Could DNA be the answer? https://t.co/ww2UziMrWn"
@BBC,9,Sat Mar 31 09:04:03 +0000 2018,0.6369,0.198,0.802,0.0,Tweet 9: The greatest wall you've never heard of: these mesmerising mosaics are hidden in Pakistan's Lahore Fort. 😍… https://t.co/1urqLOyZAw
@BBC,10,Sat Mar 31 08:04:03 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 10: Thinking of getting off social media? 

These people did. Here's how they survive (and thrive).  https://t.co/5yB6SW1mTG"
